id ; Experiment ; nb_agents ; cost
0 ; pyramid_range3_3d_agents ; 2 ; 7.0
1 ; pyramid_range3_3d_agents ; 2 ; 8.0
2 ; pyramid_range3_3d_agents ; 5 ; 8.0
3 ; pyramid_range3_3d_agents ; 5 ; 8.0
4 ; pyramid_range3_3d_agents ; 2 ; 9.0
5 ; pyramid_range3_3d_agents ; 5 ; 9.0
6 ; pyramid_range3_3d_agents ; 2 ; 10.0
7 ; pyramid_range3_3d_agents ; 2 ; 10.0
8 ; pyramid_range3_3d_agents ; 5 ; 10.0
9 ; pyramid_range3_3d_agents ; 5 ; 11.0
10 ; pyramid_range3_3d_agents ; 2 ; 12.0
11 ; pyramid_range3_3d_agents ; 5 ; 12.0
12 ; pyramid_range3_3d_agents ; 5 ; 12.0
13 ; pyramid_range3_3d_agents ; 2 ; 13.0
14 ; pyramid_range3_3d_agents ; 2 ; 15.0
15 ; pyramid_range3_3d_agents ; 2 ; 16.0
16 ; pyramid_range3_3d_agents ; 2 ; 16.0
17 ; pyramid_range3_3d_agents ; 15 ; 16.0
18 ; pyramid_range3_3d_agents ; 10 ; 18.0
19 ; pyramid_range3_3d_agents ; 2 ; 19.0
20 ; pyramid_range3_3d_agents ; 5 ; 19.0
21 ; pyramid_range3_3d_agents ; 2 ; 20.0
22 ; pyramid_range3_3d_agents ; 2 ; 21.0
23 ; pyramid_range3_3d_agents ; 10 ; 21.0
24 ; pyramid_range3_3d_agents ; 10 ; 22.0
25 ; pyramid_range3_3d_agents ; 10 ; 23.0
26 ; pyramid_range3_3d_agents ; 5 ; 24.0
27 ; pyramid_range3_3d_agents ; 2 ; 26.0
28 ; pyramid_range3_3d_agents ; 5 ; 26.0
29 ; pyramid_range3_3d_agents ; 15 ; 26.0
30 ; pyramid_range3_3d_agents ; 2 ; 27.0
31 ; pyramid_range3_3d_agents ; 15 ; 28.0
32 ; pyramid_range3_3d_agents ; 10 ; 30.0
33 ; pyramid_range3_3d_agents ; 2 ; 31.0
34 ; pyramid_range3_3d_agents ; 2 ; 31.0
35 ; pyramid_range3_3d_agents ; 2 ; 31.0
36 ; pyramid_range3_3d_agents ; 10 ; 31.0
37 ; pyramid_range3_3d_agents ; 15 ; 31.0
38 ; pyramid_range3_3d_agents ; 2 ; 32.0
39 ; pyramid_range3_3d_agents ; 10 ; 34.0
40 ; pyramid_range3_3d_agents ; 15 ; 36.0
41 ; pyramid_range3_3d_agents ; 5 ; 38.0
42 ; pyramid_range3_3d_agents ; 5 ; 38.0
43 ; pyramid_range3_3d_agents ; 5 ; 38.0
44 ; pyramid_range3_3d_agents ; 20 ; 39.0
45 ; pyramid_range3_3d_agents ; 10 ; 40.0
46 ; pyramid_range3_3d_agents ; 2 ; 41.0
47 ; pyramid_range3_3d_agents ; 5 ; 43.0
48 ; pyramid_range3_3d_agents ; 15 ; 46.0
49 ; pyramid_range3_3d_agents ; 15 ; 46.0
50 ; pyramid_range3_3d_agents ; 5 ; 47.0
51 ; pyramid_range3_3d_agents ; 10 ; 47.0
52 ; pyramid_range3_3d_agents ; 20 ; 47.0
53 ; pyramid_range3_3d_agents ; 10 ; 51.0
54 ; pyramid_range3_3d_agents ; 5 ; 53.0
55 ; pyramid_range3_3d_agents ; 20 ; 53.0
56 ; pyramid_range3_3d_agents ; 10 ; 54.0
